SEASON,TEAM,GP,PTS,PPG,SNP%,TGT,REC,CTCH%,YDS,Y/C,LNG,TD,ATT,YDS,Y/A,LNG,TD,FUM
2022,JAX,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,WAS,3,22.5,7.5,21%,10,9,90%,75,8.3,15,1,1,0,0,0,0,0
2019,WAS,12,51.8,4.3,46%,47,26,55%,198,7.6,19,1,0,0,0,0,0,1
2020,JAX,1,0,0,2%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2016,DEN,4,-2,0,6%,2,0,0%,0,0,0,0,0,0,0,0,0,2
2017,NYG,8,0.1,0,5%,1,1,100%,12,12,12,0,1,-1,-1,0,0,5
2019,TEN,8,29.5,3.7,18%,12,9,75%,170,18.9,52,1,1,-5,-5,0,0,1
2020,TEN,15,27.4,1.8,23%,15,9,60%,187,20.8,61,0,1,-3,-3,0,0,0
2021,DET,16,132.4,8.3,67%,71,48,68%,576,12,75,4,4,28,7,13,0,0
2022,DET,17,110.2,6.5,49%,64,47,73%,616,13.1,56,0,7,36,5.1,12,0,3
2020,PHI,11,81.2,7.4,60%,54,31,57%,396,12.8,55,1,4,26,6.5,19,0,2
2021,PHI,17,78.1,4.6,67%,57,33,58%,299,9.1,34,2,10,32,3.2,12,0,2
2022,MIN,17,26.9,1.6,7%,13,8,62%,104,13,38,1,4,25,6.2,17,0,4
2020,LAC,11,8.9,0.8,3%,1,0,0%,0,NaN,0,0,5,29,5.8,8,1,0
2019,LV,13,133.5,10.3,43%,71,49,69%,605,12.3,65,4,0,0,0,0,0,1
2020,LV,16,131.6,8.2,51%,77,56,73%,656,11.7,53,2,0,0,0,0,0,2
2021,LV,17,259.1,15.2,66%,128,103,80%,1038,10.1,54,9,3,3,1,5,0,5
2022,LV,10,79,7.9,49%,50,36,72%,330,9.2,27,2,0,0,0,0,0,3
2017,LAR,16,27.4,1.7,27%,24,11,46%,104,9.5,28,1,0,0,0,0,0,0
2018,LAR,16,100,6.3,56%,53,29,55%,402,13.9,33,5,2,8,4,10,0,0
2019,LAR,16,61.9,3.9,43%,43,21,49%,326,15.5,31,1,5,23,4.6,12,0,0
2020,LAR,16,124.3,7.8,72%,81,52,64%,618,11.9,40,2,1,5,5,5,0,2
2021,DET,12,80.6,6.7,40%,49,29,59%,396,13.7,39,2,0,0,0,0,0,0
2022,DET,14,103.9,7.4,55%,59,38,64%,479,12.6,31,3,0,0,0,0,0,0
2018,ATL,16,206.8,12.9,61%,92,64,70%,821,12.8,75,10,6,27,4.5,9,0,2
2019,ATL,13,197,15.2,76%,93,63,68%,866,13.7,36,7,2,34,17,19,0,0
2020,ATL,15,281.5,18.8,73%,143,90,63%,1374,15.3,63,9,5,1,0.2,8,0,1
2021,ATL,5,71.1,14.2,63%,52,31,60%,281,9.1,22,2,0,0,0,0,0,0
2014,JAX,10,116.8,11.7,78%,81,48,59%,548,11.4,54,2,0,0,0,0,0,0
2015,JAX,16,304,19,93%,151,80,53%,1400,17.5,90,14,0,0,0,0,0,0
2016,JAX,16,199.3,12.5,94%,151,73,48%,883,12.1,42,6,0,0,0,0,0,1
2017,JAX,1,2.7,2.7,0%,1,1,100%,17,17,17,0,0,0,0,0,0,0
2018,CHI,13,153.3,11.8,71%,94,55,59%,754,13.7,43,4,1,9,9,9,0,1
2019,CHI,16,254.9,15.9,94%,154,98,64%,1147,11.7,49,7,1,2,2,2,0,0
2020,CHI,16,262.9,16.4,85%,151,102,68%,1250,12.3,42,6,1,-1,-1,0,0,0
2021,CHI,12,87,7.3,55%,66,38,58%,410,10.8,39,1,0,0,0,0,0,0
2022,LAR,10,84.9,8.5,83%,52,33,63%,339,10.3,29,3,0,0,0,0,0,0
2016,KC,16,0,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2017,KC,16,42.2,2.6,57%,39,21,54%,212,10.1,33,0,0,0,0,0,0,0
2018,KC,16,74.8,4.7,40%,33,22,67%,288,13.1,89,4,0,0,0,0,0,0
2019,KC,16,100.9,6.3,70%,55,32,58%,449,14,44,4,0,0,0,0,0,0
2020,KC,16,107.6,6.7,65%,59,45,76%,466,10.4,28,3,0,0,0,0,0,2
2021,KC,17,69.4,4.1,58%,41,25,61%,264,10.6,33,3,0,0,0,0,0,0
2022,BAL,17,103.8,6.1,58%,75,48,64%,458,9.5,31,2,0,0,0,0,0,2
2022,NYG,6,51.6,8.6,34%,31,23,74%,227,9.9,19,1,2,-1,-0.5,4,0,0
2021,GB,16,9.6,0.6,9%,8,4,50%,45,11.2,19,0,1,11,11,11,0,2
2022,HOU,16,39.1,2.4,23%,25,16,64%,204,12.8,37,1,2,7,3.5,4,0,6
2017,CAR,9,32.9,3.7,30%,26,15,58%,115,7.7,23,0,4,64,16,31,0,0
2018,CAR,13,136.8,10.5,50%,65,39,60%,494,12.7,53,5,8,84,10.5,33,2,1
2019,CAR,16,171.7,10.7,86%,106,54,51%,627,11.6,44,6,19,130,6.8,16,1,0
2020,CAR,15,212.1,14.1,64%,97,77,79%,851,11.1,44,3,41,200,4.9,45,2,1
2021,WAS,5,9.8,2,9%,9,6,67%,27,4.5,10,0,4,11,2.8,8,0,0
2022,WAS,17,176.3,10.4,71%,92,64,70%,656,10.2,49,4,38,187,4.9,21,1,1
2019,SF,15,189.1,12.6,67%,81,57,70%,802,14.1,42,3,14,159,11.4,31,3,2
2020,SF,7,80.7,11.5,34%,44,33,75%,391,11.8,35,1,8,26,3.2,10,0,0
2021,SF,16,339,21.2,76%,121,77,64%,1405,18.2,83,6,59,365,6.2,49,8,4
2022,SF,13,168.4,13,60%,94,56,60%,632,11.3,57,2,42,232,5.5,51,3,3
2022,MIA,3,1.7,0.6,14%,3,2,67%,17,8.5,13,0,0,0,NaN,0,0,1
